policy,episode_id,primary_rc,action,posterior,posterior_expected_reward,posterior_expected_regret,posterior_worst_regret
M7 LinUCB+LLM,INC_1775318844_weak_signa,RC_TRANSPORT_DELAY,ACT_MODEM_SOFT_RESET,RC_TRANSPORT_DELAY:0.44 | RC_PRB_CONGESTION:0.28 | RC_CAPACITY_OVERLOAD:0.28,0.2057996716817775,0.2663004924773338,0.35
M7 LinUCB+LLM,nil_1776,RC_NONE,ACT_NO_OP,RC_NONE:1.00,0.9,0.0,0.0
M7 LinUCB+LLM,nil_1778,RC_NONE,ACT_NO_OP,RC_NONE:1.00,0.9,0.0,0.0
M7 LinUCB+LLM,nil_1782,RC_NONE,ACT_NO_OP,RC_NONE:1.00,0.9,0.0,0.0
M7 LinUCB+LLM,nil_1783,RC_NONE,ACT_NO_OP,RC_NONE:1.00,0.9,0.0,0.0
M7 LinUCB+LLM,nil_1784,RC_NONE,ACT_NO_OP,RC_NONE:1.00,0.9,0.0,0.0
M7 LinUCB+LLM,INC_1775319337_high_retra,RC_SINR_DEGRADED,ACT_MCS_CAP,RC_SINR_DEGRADED:0.78 | RC_WEAK_SIGNAL:0.11 | RC_HO_FAILURE:0.11,0.44512086980017196,0.07134286925977645,0.35
M7 LinUCB+LLM,INC_1775319407_latency_de,RC_SINR_DEGRADED,ACT_MCS_CAP,RC_SINR_DEGRADED:0.90 | RC_WEAK_SIGNAL:0.05 | RC_HO_FAILURE:0.05,0.47500000000000003,0.032499999999999994,0.35
M7 LinUCB+LLM,INC_1775319549_jitter_deg,RC_TRANSPORT_DELAY,ACT_MODEM_SOFT_RESET,RC_TRANSPORT_DELAY:0.49 | RC_PRB_CONGESTION:0.26 | RC_CAPACITY_OVERLOAD:0.26,0.2011916017320467,0.27321259740192994,0.35
M7 LinUCB+LLM,INC_1775319619_weak_signa,RC_WEAK_SIGNAL,ACT_BAND_STEER_5G,RC_WEAK_SIGNAL:0.65 | RC_SINR_DEGRADED:0.17 | RC_HO_FAILURE:0.17,0.38000000000000006,0.15250000000000002,0.35
M7 LinUCB+LLM,INC_1775319725_weak_signa,RC_TRANSPORT_DELAY,ACT_MODEM_SOFT_RESET,RC_TRANSPORT_DELAY:0.35 | RC_PRB_CONGESTION:0.33 | RC_CAPACITY_OVERLOAD:0.33,0.21500000000000002,0.2525,0.35
M7 LinUCB+LLM,nil_1802,RC_NONE,ACT_NO_OP,RC_NONE:1.00,0.9,0.0,0.0
M7 LinUCB+LLM,INC_1775319971_latency_de,RC_TRANSPORT_DELAY,ACT_QUEUE_MANAGE,RC_TRANSPORT_DELAY:0.35 | RC_PRB_CONGESTION:0.33 | RC_CAPACITY_OVERLOAD:0.33,0.45999999999999996,0.13,0.2
